epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.295,0.74438,3.61751,1.20628,0.00113,0.35616,0.10436,0.03332,2.54719,3.69472,2.08822,0.082018,1.8e-05,1.8e-05
2,30.6977,0.73438,1.30869,1.24103,0.56667,0.23288,0.44128,0.3558,1.4327,4.04815,1.54455,0.063037,3.6996e-05,3.6996e-05
3,45.7218,0.75514,1.07956,1.23569,0.57407,0.42466,0.55792,0.47052,0.79777,3.94084,1.12897,0.044056,5.59757e-05,5.59757e-05
4,60.3142,0.65022,0.78921,1.10463,0.18552,0.56164,0.53954,0.39679,0.73549,3.59304,1.1008,0.0250749,7.49267e-05,7.49267e-05
5,75.5894,0.61582,0.75154,1.11701,1,0.32032,0.83154,0.59328,0.87703,2.71155,1.19267,0.00609384,9.38368e-05,9.38368e-05
6,91.1946,0.62986,0.6859,1.11389,0.91639,0.93151,0.96293,0.7781,0.77623,1.36709,1.12092,9.97288e-05,9.97288e-05,9.97288e-05
7,106.229,0.6021,0.62478,1.10004,0.89772,0.96189,0.94995,0.7976,0.71776,0.94788,1.07338,9.96097e-05,9.96097e-05,9.96097e-05
8,121.296,0.53178,0.60748,1.04182,0.94518,0.9863,0.98958,0.8552,0.72077,0.54528,1.08112,9.9469e-05,9.9469e-05,9.9469e-05
9,136.518,0.55612,0.6035,1.03679,0.97304,0.98875,0.9934,0.87574,0.70196,0.51539,1.06975,9.93068e-05,9.93068e-05,9.93068e-05
10,151.44,0.53366,0.58029,1.07959,0.95889,0.9726,0.99149,0.87025,0.68415,0.54969,1.04426,9.91232e-05,9.91232e-05,9.91232e-05
11,166.14,0.53256,0.54897,1.04665,0.98501,0.90028,0.98367,0.86467,0.67128,0.54451,1.03154,9.89183e-05,9.89183e-05,9.89183e-05
12,181.494,0.48723,0.50905,1.00381,0.96481,0.91781,0.98497,0.88858,0.63966,0.52564,1.01968,9.86922e-05,9.86922e-05,9.86922e-05
13,197.133,0.52209,0.52257,1.0325,0.92809,0.9589,0.98248,0.86905,0.65762,0.54044,1.01387,9.84449e-05,9.84449e-05,9.84449e-05
14,211.595,0.51385,0.51034,1.02223,0.90687,0.9589,0.98312,0.8418,0.66065,0.57193,1.01062,9.81765e-05,9.81765e-05,9.81765e-05
15,226.518,0.55981,0.54602,1.07609,0.93451,0.97738,0.98619,0.83269,0.62832,0.59656,1.01598,9.78873e-05,9.78873e-05,9.78873e-05
16,241.01,0.50211,0.49582,1.00618,0.91245,0.99941,0.98411,0.82842,0.64786,0.57314,1.04162,9.75773e-05,9.75773e-05,9.75773e-05
17,256.36,0.53497,0.51606,1.01813,0.90982,0.9863,0.98373,0.84192,0.63081,0.55091,1.02812,9.72466e-05,9.72466e-05,9.72466e-05
18,271.098,0.49477,0.4703,1.02091,0.93052,0.9863,0.97827,0.8482,0.62515,0.59139,1.02258,9.68955e-05,9.68955e-05,9.68955e-05
19,285.09,0.49775,0.48714,1.01091,0.93783,0.9589,0.97879,0.848,0.63948,0.5232,1.02485,9.65239e-05,9.65239e-05,9.65239e-05
20,299.939,0.47821,0.451,0.98844,0.93266,1,0.98141,0.85943,0.62547,0.52531,1.00607,9.61322e-05,9.61322e-05,9.61322e-05
21,314.686,0.44189,0.44012,0.97582,0.93577,0.99794,0.97859,0.8658,0.58853,0.52147,0.99263,9.57205e-05,9.57205e-05,9.57205e-05
22,329.552,0.48039,0.44222,1.00003,0.91225,0.99692,0.98342,0.87068,0.59844,0.49209,1.01403,9.52889e-05,9.52889e-05,9.52889e-05
23,344.333,0.45822,0.42824,0.97511,0.89032,1,0.9865,0.86433,0.61699,0.50731,1.04342,9.48377e-05,9.48377e-05,9.48377e-05
24,360.253,0.52681,0.45396,1.01415,0.94659,0.97107,0.98515,0.85096,0.61955,0.63858,1.03554,9.43671e-05,9.43671e-05,9.43671e-05
25,374.729,0.45737,0.41838,0.98168,0.96034,0.99512,0.99088,0.8474,0.62113,0.67619,1.00968,9.38772e-05,9.38772e-05,9.38772e-05
26,390.167,0.45484,0.43765,0.99296,0.95938,0.94521,0.98759,0.85241,0.65483,0.49836,1.03964,9.33683e-05,9.33683e-05,9.33683e-05
